	Värdeutveckling i SEK (%)							Fondavgift (%)			Sharpe-	Noterings-		Svensk/				
Enter Trend Räntefond	0	0	-1	-4	6	15	2,8	0,3	0,67	3	0,5	SEK	2005	Svensk	483099	Enter Fonder AB	Sverige lång	Fonden tar miljö och/eller etisk hänsyn
Trigon Baltic Fund	4	4	4	7	35	5	0,9	0,89	2,49	9,7	1	EUR	2010	Utländsk	717371	Trigon Funds, AS	Östeuropa	
Trigon New Europe Fund	2	2	0	-3	36	34	6	0,87	2,22	11,2	1	EUR	2010	Utländsk	789032	Trigon Funds, AS	Östeuropa	
Tundra Pakistan Fund	-6	-6	-5	-3	110			0,87	2,52	22,1	1,2	SEK	2011	Svensk	705806	Tundra Fonder AB	Övriga länder	
Tundra Rysslandsfond	7	7	3	-6	-13			0,87	2,66	23,2	-0,1	SEK	2011	Svensk	741637	Tundra Fonder AB	Ryssland	
UBS (Lux) Equity Sicav - Emerging Markets Sustainable	2	2	3	-16	16	-10	-2,1	0,63	2,09	15	0,4	USD	2010	Utländsk	807867	UBS Fund Management (Luxembourg) S.A	Nya marknader	Fonden tar miljö och/eller etisk hänsyn
UBS (Lux) Equity Fund - Mid Caps USA (USD)	-1	-1	2	-11	55	70	11,2	0,57	1,85	14,3	1,1	USD	2009	Utländsk	889261	UBS Fund Management (Luxembourg) S.A	Nordamerika och USA	
Trigon Russia Top Picks Fund	6	6	9	4	-16	-40	-9,6	0,89	2,52	28,4	-0,1	EUR	2012	Utländsk	516914	Trigon Funds, AS	Ryssland	
ESPA Bond Danubia	3	3	3	-2	18	25	4,6	0,35	0,8	7,1	0,8	EUR	2013	Utländsk	528422	Erste Sparinvest Kapitalanlagegesellschaft m.b.H	Övriga utländska	
ESPA Bond Corporate BB	2	2	1	-3	21			0,42	1,25	6,1	1	EUR	2013	Utländsk	456764	Erste Sparinvest Kapitalanlagegesellschaft m.b.H	Övriga utländska	
Axa Rosenberg Pan-European Equity Alpha Fund	-7	-7	-6	-17	35	35	6,2	0,62	1,5	13,5	0,8	EUR	2000	Utländsk	473470	AXA Rosenberg Management Ireland Ltd	Europa	
Axa Rosenberg US Equity Alpha Fund	-2	-2	4	-8	64	104	15,3	0,6	1,43	12,9	1,3	USD	2000	Utländsk	616797	AXA Rosenberg Management Ireland Ltd	Nordamerika och USA	
DNB Fund - Private Equity	-6	-6	-2	-11	44	61	10	0,66	1,82	14	0,9	SEK	2013	Utländsk	445841	DNB Asset Management S.A.	Övriga branscher	
Amundi Funds Absolute Volatility World	-1	-1	-4	-6	9	7	1,4	0,56	1,79	11,6	0,3	USD	2009	Utländsk	303230	Amundi Luxembourg S.A. 	Utländska aktier och räntor	
Amundi Funds Equity ASEAN	5	5	11	-19	-8	21	3,9	0,78	2,38	15,7	-0,1	USD	2008	Utländsk	169060	Amundi Luxembourg S.A. 	Asien och Fjärran östern	
Amundi Funds Equity Asia ex Japan	-1	-1	4	-15	23	18	3,4	0,78	2,32	14,7	0,5	USD	2001	Utländsk	166173	Amundi Luxembourg S.A. 	Asien och Fjärran östern	
Amundi Funds Equity Emerging World	2	2	3	-18	8	-1	-0,3	0,78	2,42	14,6	0,2	USD	2011	Utländsk	161687	Amundi Luxembourg S.A. 	Nya marknader	
Amundi Funds Equity Euro	-8	-8	-4	-16	40	27	4,9	0,64	1,77	15,5	0,8	EUR	2011	Utländsk	125856	Amundi Luxembourg S.A. 	Euroland	
Amundi Funds Equity Global Gold Mines	37	37	37	4	-32			0,78	2,41	40,1	-0,1	USD	2011	Utländsk	305003	Amundi Luxembourg S.A. 	Övriga branscher	
Amundi Funds Equity Global Luxury and Lifestyle	-7	-7	-2	-12	44			0,78	2,31	14,7	0,9	USD	2011	Utländsk	233346	Amundi Luxembourg S.A. 	Övriga branscher	
Amundi Funds Equity Global Resources	16	16	23	-10	-4	-25	-5,5	0,78	2,36	21,5	0	USD	2011	Utländsk	918367	Amundi Luxembourg S.A. 	Övriga branscher	
Swedbank Robur Medica	-12	-12	-3	-15	66	130	18,2	0,27	1,28	15	1,2	SEK	2000	Svensk	928341	Swedbank Robur Fonder AB	Läkemedel	
Coeli - Global Select Fund	-7	-7	2	-8				0,89	3,44			SEK	2015	Utländsk	422709	MDO Management Company S.A.	Global	Fonden tar miljö och/eller etisk hänsyn
Amundi Funds Equity Global Concentrated	-5	-5	2	-12				0,66	1,83			USD	2015	Utländsk	704502	Amundi Luxembourg S.A. 	Global	
Holberg Kreditt	-2	-2	-6	-13	-8			0,35	0,8	9,5	-0,3	NOK	2012	Utländsk	980284	Holberg Fondsforvaltning AS	Övriga utländska	
KPA Etisk Aktiefond	-6	-6	0	-12	41	64	10,4	0,18	0,43	12,5	1	SEK	2000	Svensk	296152	Swedbank Robur Fonder AB	Svenska och utländska aktier	Fonden tar miljö och/eller etisk hänsyn
Swedbank Robur Sverigefond MEGA	-3	-3	3	-9	39	50	8,5	0,2	0,62	13,9	0,8	SEK	2000	Svensk	789271	Swedbank Robur Fonder AB	Sverige	
Swedbank Robur Globalfond MEGA	-7	-7	0	-10	47	67	10,8	0,19	0,55	12,8	1,1	SEK	2000	Svensk	753442	Swedbank Robur Fonder AB	Global	
KPA Etisk Blandfond 2	-3	-3	0	-8	33	55	9,2	0,18	0,41	8,4	1,2	SEK	2000	Svensk	224493	Swedbank Robur Fonder AB	Svenska och utländska aktier samt svenska räntor	Fonden tar miljö och/eller etisk hänsyn
KPA Etisk Räntefond	0	0	0	0	1	5	1	0,1	0,1	0,2	1	SEK	2000	Svensk	188664	Swedbank Robur Fonder AB	Sverige kort	Fonden tar miljö och/eller etisk hänsyn
BL - Bond Dollar	1	1	0	-4	32	53	8,8	0,34	0,89	10,4	0,9	USD	2000	Utländsk	551804	Banque de Luxembourg S.A.	Övriga utländska	
AMF Räntefond Lång	2	2	1	0	12	30	5,4	0,1	0,1	2,3	1,5	SEK	2000	Svensk	574293	AMF Fonder AB	Sverige lång	
Alfred Berg Penningmarknadsfond	0	0	0	-1	1	4	0,8	0,18	0,35	0,2	-0,2	SEK	2000	Svensk	361733	Alfred Berg Fonder AB	Sverige kort	
SEB Korträntefond SEK	0	0	0	0	1	5	0,9	0,13	0,29	0,2	0,2	SEK	2002	Svensk	843284	SEB Investment Management AB	Sverige kort	
Pictet EUR Corporate Bonds	3	3	1	-1	21	26	4,8	0,38	1,44	5,4	1,2	EUR	2003	Utländsk	352583	Pictet Funds (Europe) S.A.	Övriga utländska	
Pictet EUR Bonds	4	4	2	-1	28	39	6,8	0,38	1,24	6,3	1,3	EUR	2003	Utländsk	280925	Pictet Funds (Europe) S.A.	Europa och Euroland	
Pictet Global Emerging Debt	1	1	1	-4	32	65	10,5	0,38	1,94	10,2	0,9	USD	2003	Utländsk	173435	Pictet Funds (Europe) S.A.	Övriga utländska	
PineBridge Global Bond Fund	2	2	1	-3	25	32	5,8	0,42	1	9,5	0,8	USD	2000	Utländsk	483800	PineBridge Investments Ireland Limited	Övriga utländska	
Granit Småbolag	0	0	11	1	68	100	14,9	0,69	1,7	14,7	1,2	SEK	2011	Svensk	656637	Granit Fonder AB	Sverige småbolag	
Sparinvest - Global Value	-4	-4	2	-10	43	35	6,1	0,8	2,01	12,2	1	EUR	2006	Utländsk	882068	Sparinvest S.A.	Global	
Sparinvest - Procedo	-3	-3	-2	-9	37	47	8	0,62	1,72	8,7	1,2	EUR	2008	Utländsk	235234	Sparinvest S.A.	Utländska aktier och räntor	
Sparinvest - Securus	0	0	-2	-5	21	22	4	0,56	1,31	5,1	1,2	EUR	2008	Utländsk	271064	Sparinvest S.A.	Utländska aktier och räntor	
Sparinvest  - Equitas	-6	-6	-2	-12	46	55	9,1	0,82	2,06	11,9	1,1	EUR	2008	Utländsk	306894	Sparinvest S.A.	Global	
Cicero Världen 	-4	-4	-1					0,84	2,32			SEK	2015	Svensk	738500	Cicero Fonder AB	Global	Fonden tar miljö och/eller etisk hänsyn
JPMorgan Funds - China Fund A (dist)	-8	-8	-3	-23	30	11	2,2	0,65	1,8	21,6	0,5	USD	2000	Utländsk	233585	JPMorgan Asset Management (Europe) S.à.r.l.	Kina	
Axa Rosenberg Pacific Ex-Japan Small Cap Alpha	4	4	7	-8	22	47	8	0,7	1,71	15,6	0,5	USD	2015	Utländsk	245381	AXA Rosenberg Management Ireland Ltd	Asien och Fjärran östern	
Axa Rosenberg All Country Asia Pacific Ex-Japan Equity Alpha Fund	-1	-1	3	-19	10	17	3,1	0,69	1,69	15,6	0,3	USD	2015	Utländsk	281212	AXA Rosenberg Management Ireland Ltd	Asien och Fjärran östern	
Fondmarknaden Global Edge	-5	-5	-2	-15	13	12	2,3	0,62	2,88	10,6	0,4	SEK	2009	Utländsk	539460	SEB Fund Services S.A.	Utländska aktier och räntor	
Monyx Svenska Aktier	-3	-3	4	-7	43	58	9,5	0,3	1,07	13,7	0,9	SEK	2000	Utländsk	585216	SEB Fund Services S.A.	Sverige	
Monyx Strategi Offensiv	-5	-5	-3	-14	29			0,37	1,67	10,9	0,8	SEK	2011	Utländsk	762880	SEB Fund Services S.A.	Utländska aktier och räntor	
Monyx Strategi Världen	-4	-4	-3	-12	21			0,37	2,36	8,6	0,7	SEK	2011	Utländsk	912287	SEB Fund Services S.A.	Utländska aktier och räntor	
Monyx Strategi Nya Marknader	1	1	0	-13	2			0,37	2,74	10,2	0,1	SEK	2011	Utländsk	948117	SEB Fund Services S.A.	Utländska aktier och räntor	
Monyx Strategi Sverige/Världen	-4	-4	-3	-12	16			0,37	2,11	9	0,6	SEK	2011	Utländsk	983940	SEB Fund Services S.A.	Utländska aktier och räntor	
SEB Latinamerikafond	9	9	11	-13	-26	-35	-8,2	0,42	1,77	20	-0,4	SEK	2011	Svensk	823039	SEB Investment Management AB	Latinamerika	
Seligson & Co Global Top 25 Pharmaceuticals	-11	-11	-2	-15	65	156	20,7	0,29	0,6	16,4	1,1	EUR	2001	Utländsk	416982	Seligson & Co Fondbolag Abp	Läkemedel	
Seligson & Co Euroobligation	4	4	2	0	34	44	7,6	0,16	0,28	6,6	1,5	EUR	2000	Utländsk	443721	Seligson & Co Fondbolag Abp	Europa och Euroland	
Seligson & Co Global Top 25 Brands	-2	-2	6	-1	71	119	17	0,29	0,6	13,7	1,4	EUR	2000	Utländsk	479550	Seligson & Co Fondbolag Abp	Global	
Sensor Sverige Select	-3	-3	5	10	65	72	11,5	0,62	5,8	10,2	1,7	SEK	2014	Svensk	303701	Sensor Fonder AB	Svenska aktier och räntor	
Solidar Fonder Sverige	-2	-2	5	-5	43	49	8,3	0,38	1,51	13,6	0,9	SEK	2010	Svensk	605634	Solidar Fonder AB	Sverige	
Solidar Fonder Flex 70	-3	-3	2	-5	33			0,2	0,43	8,9	1,1	SEK	2011	Svensk	853374	Solidar Fonder AB	Utländska aktier och räntor	
Solidar Fonder Flex 100	-5	-5	3	-8	43			0,2	0,47	12,2	1	SEK	2011	Svensk	889204	Solidar Fonder AB	Utländska aktier och räntor	
Sparinvest Emerging Markets Corporate Value Bonds SEK	3	3	-1	-8	-15			0,42	1,59	8,9	-0,6	SEK	2013	Utländsk	365684	Sparinvest S.A.	Övriga utländska	
Sparinvest - European Value	-3	-3	2	-9	47	30	5,4	0,82	2,07	13,9	1	EUR	2007	Utländsk	371294	Sparinvest S.A.	Europa	
Sparinvest Ethical Emerging Markets Value	3	3	3	-14	9			0,89	2,37	15,5	0,2	EUR	2013	Utländsk	401513	Sparinvest S.A.	Nya marknader	Fonden tar miljö och/eller etisk hänsyn
Sparinvest Emerging Markets Corporate Value Bonds EUR	4	4	-3	-8	-7	5	1	0,42	1,59	9,2	-0,3	EUR	2010	Utländsk	550970	Sparinvest S.A.	Övriga utländska	
BlackRock Global Funds -  World Healthscience Fund	-12	-12	-5	-17	79	146	19,7	0,67	1,83	16,8	1,2	USD	2004	Utländsk	374421	BlackRock (Channel Islands) Ltd	Läkemedel	
BlackRock Global Funds -  World Gold Fund	37	37	38	7	-19	-45	-11,3	0,74	2,07	35,7	0	USD	2004	Utländsk	338590	BlackRock (Channel Islands) Ltd	Övriga branscher	
BlackRock Global Funds -  World Mining Fund	18	18	12	-27	-39	-62	-17,6	0,74	2,08	26,8	-0,5	USD	2004	Utländsk	481911	BlackRock (Channel Islands) Ltd	Övriga branscher	
BlackRock Global Funds -  Technology Fund	-8	-8	3	-10	63	66	10,6	0,67	1,83	15,7	1,1	USD	2004	Utländsk	446088	BlackRock (Channel Islands) Ltd	IT och kommunikation	
NN (L) Invest European Equity	-6	-6	-3	-10	40	38	6,7	0,67	1,64	12,6	0,9	EUR	2001	Utländsk	899773	NN Asset Management BV	Europa	
NN (L) Invest Latin America	13	13	9	-18	-27	-41	-10	0,76	1,9	19,8	-0,4	USD	2000	Utländsk	956268	NN Asset Management BV	Latinamerika	
Turkisfund Bonds	4	4	11	-11	-11	-7	-1,5	0,62	2,8	16,6	-0,2	EUR	2013	Utländsk	844225	Luxcellence Management Company S.A.	Utländska aktier och räntor	
SPP Aktiefond Japan	-10	-10	-2	-14	37	48	8,2	0,16	0,21	15,7	0,7	SEK	2000	Svensk	176503	SPP Fonder AB	Japan	Fonden tar miljö och/eller etisk hänsyn
SPP Aktiefond USA	-4	-4	4	-7	69	113	16,3	0,16	0,21	13,1	1,4	SEK	2000	Svensk	248161	SPP Fonder AB	Nordamerika och USA	Fonden tar miljö och/eller etisk hänsyn
SPP Aktiefond Global	-5	-5	2	-11	44	60	9,9	0,17	0,32	12,3	1	SEK	2010	Svensk	407064	SPP Fonder AB	Global	Fonden tar miljö och/eller etisk hänsyn
SPP Penningmarknadsfond	0	0	0	0	2	7	1,4	0,11	0,21	0,2	2,2	SEK	2010	Svensk	442897	SPP Fonder AB	Sverige kort	Fonden tar miljö och/eller etisk hänsyn
SPP Emerging Markets SRI	1	1	2	-19	6	-2	-0,4	0,24	0,82	15,2	0,2	SEK	2011	Svensk	459891	SPP Fonder AB	Nya marknader	Fonden tar miljö och/eller etisk hänsyn
JP Global Trend	-7	-7	-8	-13	16			0,5	2,66	11,1	0,5	SEK	2012	Utländsk	910455	Söderberg & Partners Asset Management S.A	Utländska aktier och räntor	
Söderberg & Partners Trygghet 75 PM	-4	-4	-1	-14	30			0,5	1,62	11,2	0,8	SEK	2012	Utländsk	946285	Söderberg & Partners Asset Management S.A	Utländska aktier och räntor	
Söderberg & Partners Trygghet 80 PM	-3	-3	-1	-12	24			0,5	1,6	9,1	0,8	SEK	2012	Utländsk	982116	Söderberg & Partners Asset Management S.A	Utländska aktier och räntor	
Handelsbanken Tillväxtmarknadsfond Obligation	5	5	3	-8				0,24	1,15			SEK	2013	Utländsk	857565	Handelsbanken Funds	Övriga utländska	
Aberdeen Global - European Equity (Ex UK) Fund	-5	-5	-1	-15	25	35	6,2	0,65	1,85	13,4	0,6	EUR	2006	Utländsk	865063	Aberdeen International Fund Managers Ltd	Europa	
Aberdeen Global - Japanese Smaller Companies Fund	-3	-3	8	-12	61	112	16,2	0,6	1,68	18,6	0,9	JPY	2008	Utländsk	192146	Aberdeen International Fund Managers Ltd	Japan	
Aberdeen Global - North American Equity Fund	-3	-3	4	-12	45	88	13,5	0,61	1,73	14,2	0,9	USD	2006	Utländsk	407775	Aberdeen International Fund Managers Ltd	Nordamerika och USA	
Aberdeen Global - Technology Equity Fund	-1	-1	7	-8	49	69	11,1	0,68	1,95	14,6	1	USD	2006	Utländsk	848069	Aberdeen International Fund Managers Ltd	IT och kommunikation	
Aberdeen Global - UK Equity Fund	-6	-6	-6	-17	18	41	7,2	0,61	1,73	13,7	0,4	GBP	2006	Utländsk	515262	Aberdeen International Fund Managers Ltd	Övriga länder	
Alfred Berg Ryssland	8	8	5	-7	-11	-32	-7,3	0,81	2,54	25,2	0	SEK	2004	Svensk	671982	Alfred Berg Fonder AB	Ryssland	
Alfred Berg Sverige Plus	-4	-4	5	-4	49	84	12,9	0,66	1,78	12,9	1,1	SEK	2012	Svensk	647487	Alfred Berg Fonder AB	Sverige	
Alfred Berg Aktiv	-1	-1	3	-4	33	28	5	0,57	1,5	12,7	0,8	NOK	2001	Utländsk	147348	Alfred Berg Kapitalforvaltning AS	Övriga länder	
Alfred Berg GAMBAK	-2	-2	6	0	46	43	7,4	0,75	2,06	11,5	1,1	NOK	2004	Utländsk	821389	Alfred Berg Kapitalforvaltning AS	Övriga länder	
SPP Generation 50-tal	-2	-2	1	-8	29	44	7,6	0,18	0,41	7,8	1,1	SEK	2000	Svensk	427310	SPP Fonder AB	Pension om mindre än 10 år	Fonden tar miljö och/eller etisk hänsyn
Spiltan Högräntefond	0	0	0	1				0,29	0,76			SEK	2014	Svensk	560599	Spiltan Fonder AB	Övriga utländska	
Danske Invest Sverige Kort Ränta	0	0	0	-1	3	9	1,8	0,16	0,3	0,4	2,1	SEK	2000	Svensk	865774	Danske Capital AB	Sverige kort	
Öhman Realobligationsfond	4	4	3	-2	7	17	3,2	0,14	0,26	5,1	0,4	SEK	2003	Svensk	787382	E. Öhman J:or Fonder AB	Sverige realränta	
Alfred Berg Global Quant	-3	-3	2	-8	44	59	9,7	0,6	1,6	10,7	1,2	NOK	2001	Utländsk	290668	Alfred Berg Kapitalforvaltning AS	Global	
Alfred Berg Nordic Best Selection	-5	-5	1	-8	49	42	7,3	0,57	1,5	11,8	1,2	NOK	2001	Utländsk	219006	Alfred Berg Kapitalforvaltning AS	Norden	
Alfred Berg Norge	-3	-3	0	-9	23	24	4,4	0,48	1,2	13,4	0,6	NOK	2001	Utländsk	183178	Alfred Berg Kapitalforvaltning AS	Övriga länder	
Allianz BRIC Equity	4	4	2	-17	10	-16	-3,5	0,89	2,29	18,4	0,2	EUR	2013	Utländsk	789560	Allianz Global Investors GmbH	Nya marknader	
Allianz China Equity	-6	-6	-3	-18	40	24	4,4	0,89	2,29	20,8	0,6	USD	2013	Utländsk	753731	Allianz Global Investors GmbH	Kina	
Aviva Investors - European Corporate Bond Fund	3	3	1	-1	22	30	5,4	0,42	1,43	5,1	1,3	EUR	2002	Utländsk	543892	Aviva Investors Luxembourg S.A.	Europa och Euroland	
Evli Emerging Markets Credit	3	3	0	-1				0,37	1			EUR	2014	Utländsk	229625	Evli Fondbolag Ab	Övriga utländska	
Fidelity Funds - European High Yield Fund	1	1	-1	-2	22	32	5,7	0,42	1,64	6,2	1,1	EUR	2012	Utländsk	830885	FIL Investment Management (Luxembourg) S.A.	Europa och Euroland	
Fidelity Funds - Global High Yield Fund	-1	-1	-3	-8	29			0,42	2,11	8,2	1	EUR	2012	Utländsk	906792	FIL Investment Management (Luxembourg) S.A.	Övriga utländska	
SEB Aktiesparfond	-3	-3	1	-9	45	69	11	0,36	1,4	10,5	1,2	SEK	2002	Svensk	301580	SEB Investment Management AB	Global	
Odin Finland	-3	-3	5	-4	56	32	5,7	0,71	2,01	14,2	1,1	NOK	2002	Utländsk	634386	Odin Fonder	Övriga länder	
Odin Norge	-3	-3	-2	-11	11	-11	-2,3	0,71	2	13,5	0,3	NOK	2002	Utländsk	562728	Odin Fonder	Övriga länder	
Odin Sverige	0	0	14	12	69	94	14,2	0,69	1,94	12,6	1,4	NOK	2002	Utländsk	450981	Odin Fonder	Sverige	
Pictet Asian Equities (Ex Japan)	-3	-3	3	-17	27	24	4,4	0,8	2,74	15,6	0,6	USD	2003	Utländsk	917955	Pictet Funds (Europe) S.A.	Asien och Fjärran östern	
Pictet Clean Energy	-6	-6	-2	-24	29	4	0,8	0,8	2,71	16,1	0,6	USD	2007	Utländsk	887497	Pictet Funds (Europe) S.A.	Övriga branscher	Fonden tar miljö och/eller etisk hänsyn
Pictet European Equity Selection	-5	-5	-3	-11	17	21	4	0,73	2,02	12,6	0,5	EUR	2000	Utländsk	475897	Pictet Funds (Europe) S.A.	Europa	
Pictet Indian Equities	-4	-4	-6	-18	57	21	3,8	0,8	2,88	22,3	0,8	USD	2000	Utländsk	874271	Pictet Funds (Europe) S.A.	Övriga länder	
BlackRock Global Funds - Emerging Europe Fund	5	5	8	-9	-6	-24	-5,3	0,75	2,12	19,9	0	EUR	2004	Utländsk	987784	BlackRock (Channel Islands) Ltd	Östeuropa	
BlackRock Global Funds - Emerging Markets Fund	1	1	3	-20	0	-1	-0,3	0,68	1,86	15,4	0,1	USD	2004	Utländsk	231100	BlackRock (Channel Islands) Ltd	Nya marknader	
BlackRock Global Funds -  Euro Markets Fund	-6	-6	-3	-8	45	49	8,3	0,67	1,83	13,5	1	EUR	2004	Utländsk	916122	BlackRock (Channel Islands) Ltd	Euroland	
BlackRock Global Funds -  European Fund	-8	-8	-5	-14	33	41	7,2	0,66	1,82	13	0,8	EUR	2004	Utländsk	732727	BlackRock (Channel Islands) Ltd	Europa	
BlackRock Global Funds -  India Fund	-4	-4	-6	-15	66	35	6,2	0,71	1,97	22,9	0,8	USD	2006	Utländsk	768499	BlackRock (Channel Islands) Ltd	Övriga länder	
BlackRock Global Funds -  Latin American Fund	13	13	9	-16	-22	-32	-7,5	0,75	2,09	20,6	-0,3	USD	2004	Utländsk	661066	BlackRock (Channel Islands) Ltd	Latinamerika	
BlackRock Global Funds -  New Energy Fund	-2	-2	8	-8	41	18	3,4	0,74	2,08	13	0,9	USD	2004	Utländsk	553578	BlackRock (Channel Islands) Ltd	Övriga branscher	
BlackRock Global Funds -  World Financials Fund	-14	-14	-10	-23	23	38	6,6	0,67	1,84	16,1	0,5	USD	2004	Utländsk	410258	BlackRock (Channel Islands) Ltd	Övriga branscher	
BlackRock Global Funds - Japan Flexible Equity Fund	-9	-9	0	-12	33	49	8,4	0,67	1,84	17,2	0,6	USD	2005	Utländsk	299693	BlackRock (Channel Islands) Ltd	Japan	
BlackRock Global Funds -  US Basic Value Fund	-3	-3	1	-15	53	78	12,2	0,66	1,82	15,2	1	USD	2004	Utländsk	768556	BlackRock (Channel Islands) Ltd	Nordamerika och USA	
Pictet Health	-11	-11	-8	-22	73	97	14,5	0,8	2,72	16,7	1,2	USD	2004	Utländsk	688986	Pictet Funds (Europe) S.A.	Läkemedel	
Turkisfund Equities	13	13	17	-9	-15	-4	-0,7	0,89	2,84	29	0	EUR	2013	Utländsk	127621	Luxcellence Management Company S.A.	Övriga länder	
Morgan Stanley Investment Funds Emerging Europe Middle East Africa	2	2	-1	-8	15	7	1,4	0,89	2,95	14,7	0,4	EUR	2001	Utländsk	353821	Morgan Stanley Investment Management Ltd	Östeuropa	
Morgan Stanley Investment Funds European Currencies High Yield Bond Fund	3	3	1	-3	24	33	5,8	0,42	2,15	6,7	1,1	EUR	2000	Utländsk	930768	Morgan Stanley Investment Management Ltd	Europa och Euroland	
Morgan Stanley Investment Funds Eurozone Equity Alpha Fund	-6	-6	-2	-16	38	34	6	0,89	2,7	14,5	0,8	EUR	2004	Utländsk	155788	Morgan Stanley Investment Management Ltd	Europa	
Pictet Japanese Equity Selection	-10	-10	-2	-16	31	47	7,9	0,74	2,08	17,1	0,6	JPY	2006	Utländsk	866897	Pictet Funds (Europe) S.A.	Japan	
Pictet Small Cap Europe	-8	-8	-3	-4	57	64	10,4	0,8	2,68	12,3	1,3	EUR	2000	Utländsk	440065	Pictet Funds (Europe) S.A.	Europa/Euroland småbolag	
PineBridge American Equity Fund	-1	-1	3	-7	68	104	15,3	0,57	1,34	13,4	1,4	USD	2000	Utländsk	304659	PineBridge Investments Ireland Limited	Nordamerika och USA	
PineBridge Global Emerging Markets Focus Equity Fund	-2	-2	-3	-20	4	-12	-2,5	0,68	1,67	15	0,1	USD	2000	Utländsk	232991	PineBridge Investments Ireland Limited	Nya marknader	
PineBridge Global Focus Equity Fund	-4	-4	1	-8	47	62	10,2	0,52	1,21	13,1	1	USD	2000	Utländsk	555466	PineBridge Investments Ireland Limited	Global	
PineBridge Greater China Equity Fund	-8	-8	-6	-25	18	16	3	0,89	2,45	16	0,4	USD	2005	Utländsk	246868	PineBridge Investments Ireland Limited	Kina	
PineBridge Japan New Horizon Equity Fund	-9	-9	0	-11	24	34	6,1	0,89	2,34	16,6	0,5	USD	2005	Utländsk	282699	PineBridge Investments Ireland Limited	Japan	
Prior & Nilsson Realinvest	3	3	14	3				0,66	1,6			SEK	2014	Svensk	487108	Prior & Nilsson Fond och Kapitalförvaltning AB	Övriga branscher	
Prior & Nilsson Sverige Aktiv	0	0	4	-10	46			0,52	1,2	12,7	1	SEK	2013	Svensk	328021	Prior & Nilsson Fond och Kapitalförvaltning AB	Sverige	
BlackRock Global Funds -  World Energy Fund	1	1	0	-27	-16	-32	-7,5	0,74	2,08	19,1	-0,2	USD	2004	Utländsk	517748	BlackRock (Channel Islands) Ltd	Övriga branscher	
NN (L) Invest Global Opportunities	-7	-7	-1	-14	32	35	6,2	0,75	1,85	12,7	0,8	EUR	2010	Utländsk	523050	NN Asset Management BV	Global	
Amundi Funds Equity Japan Value	-7	-7	3	-12	30	47	8	0,72	2,04	15,3	0,6	JPY	2009	Utländsk	174490	Amundi Luxembourg S.A. 	Japan	
Simplicity Asien	-5	-5	-5	-18	4	14	2,7	0,82	2,13	11,8	0,1	SEK	2006	Svensk	602094	Simplicity AB	Asien och Fjärran östern	
Simplicity Indien	-8	-8	-10	-16	40	16	3	0,77	1,99	20,4	0,6	SEK	2005	Svensk	722983	Simplicity AB	Övriga länder	
SKAGEN Global	-7	-7	3	-11	30	39	6,8	0,35	1	13,5	0,7	NOK	2002	Utländsk	984187	SKAGEN Fonder	Global	
SKAGEN Kon-Tiki	-1	-1	1	-17	6	-1	-0,1	0,51	1,67	15,2	0,2	NOK	2002	Utländsk	501981	SKAGEN Fonder	Nya marknader	
SKAGEN m2	-2	-2	2	-15	15	25	4,6	0,29	0,76	15,7	0,4	NOK	2013	Utländsk	311027	SKAGEN Fonder	Övriga branscher	
SKAGEN Vekst	-3	-3	2	-10	25	10	2	0,39	1,15	12,5	0,6	NOK	2002	Utländsk	120014	SKAGEN Fonder	Global	
Skandia Asien	-4	-4	0	-19	17	13	2,4	0,53	1,8	14,3	0,4	SEK	2000	Svensk	618629	Skandia Fonder AB	Asien och Fjärran östern	Fonden tar miljö och/eller etisk hänsyn
Skandia Japan Exponering	-10	-10	-2	-13	31	46	7,9	0,22	0,43	15,2	0,6	SEK	2000	Svensk	582791	Skandia Fonder AB	Japan	Fonden tar miljö och/eller etisk hänsyn
Odin Europa	-6	-6	-6	-11	38	50	8,5	0,71	2,01	12,8	0,9	NOK	2006	Utländsk	280867	Odin Fonder	Europa	
Odin Global	0	0	6	-3	50	66	10,7	0,71	2	11,1	1,3	NOK	2013	Utländsk	562421	Odin Fonder	Global	
Odin Norden	-3	-3	5	-2	49	37	6,4	0,71	2	12,9	1,1	NOK	2002	Utländsk	598557	Odin Fonder	Norden	
Pictet Biotech	-27	-27	-20	-31	69	126	17,7	0,8	2,67	27	0,8	USD	2000	Utländsk	260919	Pictet Funds (Europe) S.A.	Bioteknik	
Pictet Digital Communication	-5	-5	5	-5	76	88	13,5	0,8	2,69	14,5	1,4	USD	2000	Utländsk	296749	Pictet Funds (Europe) S.A.	IT och kommunikation	
Pictet Emerging Markets	2	2	3	-19	4	-10	-2,2	0,8	2,85	16	0,1	USD	2000	Utländsk	404236	Pictet Funds (Europe) S.A.	Nya marknader	
Pictet European Sustainable Equities	-4	-4	-1	-9	47	50	8,5	0,61	1,65	12,1	1,1	EUR	2003	Utländsk	810465	Pictet Funds (Europe) S.A.	Europa	Fonden tar miljö och/eller etisk hänsyn
Swedbank Robur Småbolagsfond Sverige	-4	-4	13	15	88	110	16	0,27	1,28	13,8	1,6	SEK	2000	Svensk	856682	Swedbank Robur Fonder AB	Sverige småbolag	
Swedbank Robur Östeuropafond	8	8	5	-10	-20	-25	-5,5	0,29	1,47	19,1	-0,3	SEK	2000	Svensk	825109	Swedbank Robur Fonder AB	Östeuropa	
